time_epoch,time_iso,lat,lon,error_km,count,arrays,backazimuths,time_span_s,source_file
1602202005.325,2020-10-09T00:06:45.325000+00:00,-77.344468,-102.045784,0.0,2,0;1,270.0;160.0;255.0;160.0,10.4,locations_summary_20201009.csv
1602202033.05,2020-10-09T00:07:13.050000+00:00,-77.330445,-100.645261,0.0,3,0;1,255.0;145.0;25.0;145.0;225.0;135.0,300.975,locations_summary_20201009.csv
1602288372.525,2020-10-10T00:06:12.525001+00:00,-77.632319,-103.283581,0.0,2,0;1,245.0;180.0;60.0;180.0,3.55,locations_summary_20201010.csv
1602336238.263,2020-10-10T13:23:58.262501+00:00,-77.308084,-100.564058,0.0,2,0;1,0.0;320.0;290.0;320.0,9.275,locations_summary_20201010.csv
1602374752.55,2020-10-11T00:05:52.550000+00:00,-77.905366,-70.023887,0.0,2,0;1,275.0;280.0;275.0;280.0,6.7,locations_summary_20201011.csv
1602374770.325,2020-10-11T00:06:10.325000+00:00,-77.298825,-85.133586,0.0,2,0;1,270.0;280.0;270.0;280.0,6.7,locations_summary_20201011.csv
1602374965.2,2020-10-11T00:09:25.200000+00:00,-77.297252,-100.603979,0.0,3,0;1,270.0;140.0;295.0;320.0;220.0;320.0,183.775,locations_summary_20201011.csv
1602374918.525,2020-10-11T00:08:38.525000+00:00,-77.10044,-99.957538,0.0,3,0;1,5.0;125.0;220.0;125.0;230.0;125.0,17.9,locations_summary_20201011.csv
1602409498.812,2020-10-11T09:44:58.812500+00:00,-77.484149,-102.747285,0.0,2,0;1,65.0;170.0;75.0;175.0,68885.975,locations_summary_20201011.csv
1602461472.713,2020-10-12T00:11:12.712500+00:00,-76.120486,-100.929208,0.0,2,0;1,355.0;230.0;355.0;50.0,8.625,locations_summary_20201012.csv
1602501797.5,2020-10-12T11:23:17.500000+00:00,-76.44192,-102.882035,0.0,2,0;1,330.0;50.0;145.0;195.0,75096.05,locations_summary_20201012.csv
1602547637.8,2020-10-13T00:07:17.800000+00:00,-77.538326,-100.828488,0.0,2,0;1,10.0;330.0;30.0;330.0,23.8,locations_summary_20201013.csv
1602634046.137,2020-10-14T00:07:26.137500+00:00,-76.536137,-99.885658,0.0,2,0;1,10.0;270.0;10.0;85.0,184.525,locations_summary_20201014.csv
