time_epoch,time_iso,lat,lon,error_km,count,arrays,union_arrays_count,backazimuths,time_span_s,triangulated,source_file
1579478765.775,2020-01-20T00:06:05.775001+00:00,-83.875032,-100.476376,0.0,1,0;1,2,180.0;175.0,0.0,True,locations_summary_20200120_triangulated.csv
1579478772.8,2020-01-20T00:06:12.800001+00:00,-77.940765,-100.476376,0.0,1,0;1,2,180.0;155.0,0.0,True,locations_summary_20200120_triangulated.csv
1579478808.375,2020-01-20T00:06:48.375000+00:00,-78.094539,-107.971838,0.0,1,0;1,2,245.0;215.0,0.0,True,locations_summary_20200120_triangulated.csv
1579478821.95,2020-01-20T00:07:01.950001+00:00,-76.552225,-103.228173,0.0,1,0;1,2,140.0;215.0,0.0,True,locations_summary_20200120_triangulated.csv
1579478830.275,2020-01-20T00:07:10.275001+00:00,-79.636853,-112.715503,0.0,1,0;1,2,230.0;215.0,0.0,True,locations_summary_20200120_triangulated.csv
1579478991.6,2020-01-20T00:09:51.600001+00:00,-76.621198,-98.20105,0.0,2,0;1,2,35.0;270.0;40.0;275.0,187.35,True,locations_summary_20200120_triangulated.csv
1579478977.525,2020-01-20T00:09:37.525001+00:00,-76.24927,-102.626149,0.0,1,0;1,2,155.0;205.0,0.0,True,locations_summary_20200120_triangulated.csv
1579479059.9,2020-01-20T00:10:59.900001+00:00,-76.659056,-100.643341,0.0,3,0;1,2,0.0;280.0;175.0;280.0;175.0;275.0,24.65,True,locations_summary_20200120_triangulated.csv
1579479064.925,2020-01-20T00:11:04.925000+00:00,-76.762308,-98.498899,0.0,1,0;1,2,40.0;280.0,0.0,True,locations_summary_20200120_triangulated.csv
1579479088.2,2020-01-20T00:11:28.200000+00:00,-76.962489,-83.589987,0.0,1,0;1,2,265.0;275.0,0.0,True,locations_summary_20200120_triangulated.csv
1579479095.925,2020-01-20T00:11:35.925000+00:00,-76.849229,-89.276376,0.0,1,0;1,2,260.0;275.0,0.0,True,locations_summary_20200120_triangulated.csv
1579479106.65,2020-01-20T00:11:46.650001+00:00,-77.557599,-106.92276,0.0,1,0;1,2,260.0;220.0,0.0,True,locations_summary_20200120_triangulated.csv
1579503468.7,2020-01-20T06:57:48.700001+00:00,-76.308422,-109.805784,0.0,1,0;1,2,115.0;100.0,0.0,True,locations_summary_20200120_triangulated.csv
